,T,Tmin,Tmax,Prec,Rad,Rs,RH,u2,u2mx,vap,aP
1934-01-01,0.5,0.2,0.7,0.2,,,97.0,,,6.4,1008.6
1934-01-02,-0.1,-0.8,0.9,0.1,,,90.0,,,5.9,1006.2
1934-01-03,-0.7,-1.0,-0.1,0.0,,,85.0,,,5.2,1001.6
1934-01-04,-1.6,-3.5,-0.3,0.0,,,82.0,,,4.8,1001.4
1934-01-05,0.9,-3.8,2.8,10.1,,,92.0,,,6.3,996.0
1934-01-06,2.0,0.7,2.5,0.0,,,87.0,,,6.4,1009.6
1934-01-07,1.8,0.2,3.9,0.2,,,80.0,,,5.9,1010.3
1934-01-08,1.7,-3.1,6.8,0.2,,,71.0,,,5.1,1003.3
1934-01-09,0.1,-1.1,2.9,0.0,,,84.0,,,5.5,1009.2
1934-01-10,-0.9,-2.5,1.4,0.0,,,83.0,,,5.2,1013.4
1934-01-11,-1.9,-3.7,1.2,0.0,,,74.0,,,4.3,1005.3
1934-01-12,-2.8,-4.6,-1.5,7.9,,,75.0,,,4.0,995.6
1934-01-13,0.4,-3.8,1.8,3.1,,,87.0,,,5.7,989.3
1934-01-14,1.9,-0.5,4.3,3.5,,,75.0,,,5.6,990.3
1934-01-15,4.2,-0.1,6.6,2.9,,,77.0,,,6.7,981.6
1934-01-16,3.3,-0.9,5.9,0.0,,,73.0,,,5.9,988.9
1934-01-17,4.1,1.3,4.8,0.6,,,71.0,,,6.1,999.8
1934-01-18,9.6,3.1,11.6,0.1,,,75.0,,,8.9,990.4
1934-01-19,7.6,3.8,11.8,0.0,,,67.0,,,7.7,990.2
1934-01-20,1.8,0.1,4.4,0.5,,,77.0,,,5.6,1004.6
1934-01-21,-3.1,-5.6,0.9,0.0,,,93.0,,,4.8,1021.0
1934-01-22,-1.4,-7.3,2.6,0.0,,,73.0,,,4.3,1021.5
1934-01-23,-1.0,-6.6,2.2,0.0,,,78.0,,,4.8,1019.5
