,T,Tmin,Tmax,Prec,Rad,Rs,RH,u2,u2mx,vap,aP
1936-01-01,2.6,1.7,10.1,0.0,,,88.0,,,6.5,989.0
1936-01-02,4.5,0.4,5.7,0.1,,,86.0,,,7.2,985.8
1936-01-03,6.7,3.5,8.1,7.6,,,88.0,,,8.7,979.0
1936-01-04,4.9,4.1,7.4,0.4,,,90.0,,,7.9,991.1
1936-01-05,2.4,0.2,6.2,0.0,,,86.0,,,6.4,1002.5
1936-01-06,2.0,-0.8,3.0,0.0,,,76.0,,,5.3,993.7
1936-01-07,3.4,1.1,6.2,0.7,,,83.0,,,6.4,992.6
1936-01-08,5.0,1.1,8.5,0.7,,,83.0,,,7.1,994.9
1936-01-09,5.6,1.5,7.7,5.2,,,84.0,,,7.6,998.7
1936-01-10,9.6,4.3,13.1,12.4,,,89.0,,,10.8,992.3
1936-01-11,7.5,5.4,11.0,1.0,,,72.0,,,7.5,994.3
1936-01-12,2.6,1.5,6.5,0.0,,,77.0,,,5.6,1002.6
1936-01-13,1.9,1.4,3.7,0.5,,,74.0,,,5.2,1001.8
1936-01-14,1.5,0.2,2.7,0.1,,,76.0,,,5.2,1000.7
1936-01-15,0.8,-0.4,3.2,0.0,,,77.0,,,5.1,1003.1
1936-01-16,-0.4,-4.3,2.2,0.0,,,77.0,,,4.4,996.4
1936-01-17,1.1,-1.1,2.0,0.0,,,85.0,,,5.6,979.2
1936-01-18,1.1,-0.2,3.8,0.0,,,69.0,,,4.7,985.4
1936-01-19,1.9,-0.5,7.0,0.5,,,62.0,,,4.4,987.8
1936-01-20,4.3,-0.5,8.7,0.0,,,82.0,,,6.8,982.6
1936-01-21,6.9,2.3,10.3,0.0,,,65.0,,,6.3,985.1
1936-01-22,3.7,2.3,8.2,0.0,,,68.0,,,5.5,986.8
1936-01-23,1.7,-0.5,5.7,0.5,,,81.0,,,5.6,990.0
1936-01-24,1.3,-1.0,5.0,0.0,,,74.0,,,5.1,994.3
1936-01-25,1.7,-1.6,2.5,1.2,,,81.0,,,5.6,988.6
1936-01-26,4.4,1.5,6.2,2.5,,,81.0,,,6.7,985.8
1936-01-27,5.3,3.5,6.2,3.9,,,98.0,,,8.5,986.9
1936-01-28,6.0,4.0,10.7,0.0,,,75.0,,,7.2,991.3
1936-01-29,5.5,2.0,7.5,0.0,,,76.0,,,6.7,984.0
1936-01-30,4.2,1.2,6.5,0.0,,,82.0,,,6.7,990.8
1936-01-31,4.9,0.7,8.5,9.9,,,81.0,,,6.8,983.9
1936-02-01,7.2,5.4,10.5,0.8,,,82.0,,,8.4,978.6
1936-02-02,5.2,2.7,7.5,2.1,,,89.0,,,7.9,969.2
1936-02-03,5.4,4.1,6.4,0.5,,,75.0,,,6.8,977.1
1936-02-04,1.7,1.0,5.5,1.0,,,82.0,,,5.6,993.0
1936-02-05,0.7,0.0,2.0,0.4,,,85.0,,,5.5,1002.9
1936-02-06,-0.7,-2.0,0.5,0.0,,,87.0,,,5.1,1010.2
1936-02-07,-1.4,-3.1,0.0,0.0,,,81.0,,,4.5,1015.3
1936-02-08,-3.3,-5.9,1.5,5.2,,,71.0,,,3.5,1010.7
1936-02-09,-3.7,-8.9,-0.5,0.0,,,83.0,,,3.9,998.0
1936-02-10,-8.7,-11.4,-2.2,0.0,,,79.0,,,2.5,1005.5
1936-02-11,-9.7,-14.4,-4.0,0.1,,,65.0,,,1.9,1001.9
1936-02-12,-2.8,-13.0,0.5,0.2,,,71.0,,,3.5,999.2
1936-02-13,1.6,-0.2,2.5,0.0,,,82.0,,,5.6,999.9
