              i           c_Id    mStart      mEnd            aDD            aDA            TDM
              1           1001         1         1        1.00000        0.00433        0.60281
              2           1002         1         1        1.00000        0.01575        2.24067
              3           1003         1         1        1.00000        0.00630        0.95000
              4           1004         1         1        1.00000        0.00866        1.78358
              5           2001         2         2        1.00000        0.00591        0.84031
              6           2002         2         2        1.00000        0.01850        2.86519
              7           2003         2         2        1.00000        0.00748        1.26337
              8           2004         1         2        1.61074        0.04724       17.05001
              9           2005         2         2        1.00000        0.00472        0.90194
             10           3001         3         3        1.00000        0.00433        0.78292
             11           4001         4         4        1.00000        0.00787        1.34895
             12           4002         4         4        1.00000        0.00748        0.92482
             13           4003         4         4        1.00000        0.02598        5.06900
             14           4004         4         4        1.00000        0.00630        1.33120
             15           4005         4         4        1.00000        0.00709        0.97032
             16           5001         5         5        1.00000        0.00512        0.48061
             17           5003         5         5        1.00000        0.01772        3.37304
             18           5004         5         5        1.00000        0.01378        1.54933
             19           5005         5         5        1.00000        0.01457        1.35666
             20           5006         5         5        1.00000        0.02008        2.71230
             21           6001         5         6        1.30748        0.09291       25.77285
             22           6002         6         6        1.00000        0.00945        0.93885
             23           6003         6         6        1.00000        0.04291        7.42468
             24           6004         6         6        1.00000        0.00984        1.15600
             25           6005         6         6        1.00000        0.00669        1.03912
             26           7001         7         7        1.00000        0.02520        4.44612
             27           7002         7         7        1.00000        0.00669        0.86773
             28           7003         7         7        1.00000        0.00512        0.59932
             29           8001         8         8        1.00000        0.00433        0.47136
             30           9001         9         9        1.00000        0.02165        1.82708
             31           9002         9         9        1.00000        0.00512        0.69517
             32          10002        10        10        1.00000        0.06693       13.15807
             33          11001        11        11        1.00000        0.01850        2.61026
             34          12001        12        12        1.00000        0.00866        1.36669
             35          12002        12        12        1.00000        0.01142        1.46174
             36          13001        13        13        1.00000        0.01575        3.06689
             37          13002        13        13        1.00000        0.01339        1.63774
             38          14001        14        14        1.00000        0.01811        4.32545
             39          14002        14        14        1.00000        0.00709        0.78789
             40          14003        10        14        2.88997        0.14063      139.13578
             41          14004        14        14        1.00000        0.00433        0.17145
             42          15001        15        15        1.00000        0.00512        0.63869
             43          17001        17        17        1.00000        0.00472        0.44878
             44          19001        19        19        1.00000        0.00669        0.75243
             45          20001        20        20        1.00000        0.02913        3.43868
             46          21002        21        21        1.00000        0.00866        1.28064
             47          21003        21        21        1.00000        0.00472        0.50242
             48          22002        22        22        1.00000        0.01063        0.52437
             49          24002        22        24        2.09333        0.04121       17.93646
             50          25002        25        25        1.00000        0.00630        0.43036
             51          27001        27        27        1.00000        0.00512        1.21686
             52          27002        21        27        3.53007        0.14196      202.54718
             53          27003        27        27        1.00000        0.00512        0.39251
             54          28001        28        28        1.00000        0.00945        0.73429
             55          30001        30        30        1.00000        0.00591        0.97308
             56          30002        30        30        1.00000        0.00472        0.60621
             57          31001        31        31        1.00000        0.00591        0.77881
             58          31002        31        31        1.00000        0.00591        0.31490
             59          31003        31        31        1.00000        0.00433        0.50325
             60          32001        32        32        1.00000        0.01181        0.85067
             61          32002        32        32        1.00000        0.00709        0.51685
             62          32003        32        32        1.00000        0.00433        0.47892
             63          33001        33        33        1.00000        0.00512        1.16865
             64          33002        33        33        1.00000        0.00945        1.15329
             65          33003        33        33        1.00000        0.00433        0.20298
             66          34001        34        34        1.00000        0.00472        1.41003
             67          34002        34        34        1.00000        0.00866        2.65385
             68          34003        34        34        1.00000        0.00669        1.38647
             69          35001        35        35        1.00000        0.00709        0.68694
             70          35002        35        35        1.00000        0.01890        1.70348
             71          35003        35        35        1.00000        0.01142        0.87689
             72          35004        35        35        1.00000        0.00787        1.15006
             73          35005        35        35        1.00000        0.00472        0.68330
             74          36001        36        36        1.00000        0.00433        0.28466
             75          36002        36        36        1.00000        0.01063        1.23227
             76          36003        36        36        1.00000        0.02244        2.81047
             77          36004        36        36        1.00000        0.00748        1.14452
             78          36005        36        36        1.00000        0.00630        1.51546
             79          37001        37        37        1.00000        0.00866        0.65688
             80          38001        38        38        1.00000        0.00551        0.54257
             81          39001        39        39        1.00000        0.00433        0.40495
             82          39002        39        39        1.00000        0.00551        0.82693
             83          40001        40        40        1.00000        0.00787        1.37781
             84          40002        40        40        1.00000        0.00669        0.60077
             85          41001        41        41        1.00000        0.04370        6.00092
             86          41002        41        41        1.00000        0.00630        1.16445
             87          41003        41        41        1.00000        0.01614        1.44068
             88          41004        41        41        1.00000        0.00787        0.84246
             89          41005        41        41        1.00000        0.00591        0.35257
             90          41006        41        41        1.00000        0.00472        0.39938
             91          42001        42        42        1.00000        0.00433        1.28573
             92          42002        42        42        1.00000        0.00433        1.45932
             93          42003        42        42        1.00000        0.02283        2.85234
             94          42004        42        42        1.00000        0.00433        0.31771
             95          42005        42        42        1.00000        0.00472        0.27652
             96          42006        42        42        1.00000        0.00512        0.64002
             97          43002        43        43        1.00000        0.00512        0.68558
             98          44001        44        44        1.00000        0.00472        0.83167
             99          44002        43        44        1.26000        0.08681       33.82311
            100          44003        44        44        1.00000        0.00512        0.23538
            101          44004        44        44        1.00000        0.00512        0.61284
            102          45001        45        45        1.00000        0.01102        1.06471
