i c_Id mStart mEnd aDD aDA TDM calYMS calYME gname
52 27002 21 27 3.53007 0.14196 202.54718 1767 1768 G1
250 112001 101 112 5.78274 0.25935 839.0834 1774 1775 G1
270 118004 111 118 4.47059 0.05236 76.62181 1775 1775 G1
372 159001 155 159 4.1125 0.05181 47.00558 1778 1779 G1
405 165005 158 165 3.00363 0.1221 228.07473 1779 1779 G1
500 196002 172 196 5.41997 0.12906 773.05693 1780 1782 G1
554 220002 209 220 5.77149 0.24446 707.64944 1783 1784 G1
659 268001 263 268 4.09712 0.07474 94.10941 1787 1788 G1
691 281001 272 281 4.91483 0.33398 911.60162 1788 1789 G1
853 338004 331 338 4.25287 0.09104 149.12774 1793 1794 G1
872 341006 331 341 3.08669 0.14273 350.76382 1793 1794 G1
1232 461001 452 461 5.55882 0.05953 153.25186 1803 1804 G1
1298 484001 479 484 3.50543 0.08465 82.47313 1805 1806 G1
1334 497001 490 497 4.41446 0.09016 152.86647 1806 1807 G1
1442 550002 543 550 3.20234 0.18848 365.23829 1811 1811 G1
1520 581001 574 581 6.03352 0.1063 202.79418 1813 1814 G1
1540 590002 583 590 4.44745 0.07288 135.86552 1814 1815 G1
1573 603002 599 603 3.07718 0.14756 182.62338 1815 1816 G1
1663 638002 630 638 3.76764 0.15179 334.57617 1818 1819 G2
1722 653001 647 653 4.3694 0.06586 104.89933 1819 1820 G2
1795 691003 674 691 5.39951 0.19451 905.76929 1822 1823 G2
1879 718001 708 718 3.70103 0.08994 249.37936 1824 1825 G2
1922 736004 724 736 6.15028 0.26151 1012.81848 1826 1827 G2
1994 750001 743 750 4.45629 0.10285 149.30052 1827 1828 G2
2200 832001 815 832 6.05856 0.20818 955.44231 1833 1835 G2
2213 837003 832 837 4.57714 0.05256 65.31159 1835 1835 G2
2239 845005 836 845 4.28172 0.21122 452.66562 1835 1836 G2
2275 865004 858 865 5.5311 0.05689 146.0021 1837 1838 G2
2309 893001 886 893 4.53289 0.23401 422.0184 1839 1840 G2
2416 929001 917 929 3.32913 0.10385 339.75393 1842 1843 G2
2512 976001 966 976 5.90757 0.26535 919.44675 1846 1847 G2
2737 1049001 1037 1049 8.00431 0.16872 679.15047 1852 1853 G2
2757 1059005 1050 1059 3.24176 0.13937 244.02964 1853 1854 G2
2799 1077001 1061 1077 7.87464 0.12656 590.37214 1854 1855 G2
2825 1085001 1079 1085 3.16327 0.12205 168.94434 1855 1856 G2
2854 1096001 1091 1096 4.85 0.07001 93.34044 1856 1857 G2
2949 1132002 1098 1132 13.21506 0.30206 3209.75684 1857 1860 G2
2964 1143002 1135 1143 3.94 0.06032 91.30785 1860 1861 G2
2991 1157001 1146 1157 5.30648 0.1102 354.44409 1861 1862 G2
3040 1186001 1148 1186 11.09139 0.20949 2256.40378 1861 1864 G2
3129 1216003 1188 1216 8.57381 0.17425 1328.95385 1864 1867 G2
3134 1217001 1211 1217 4.54286 0.0626 95.17862 1866 1867 G2
3142 1221001 1216 1221 3.07634 0.05289 82.82181 1867 1867 G3
3200 1242002 1224 1242 5.92646 0.2488 1404.22021 1867 1869 G3
3232 1258004 1252 1258 3.64895 0.12745 270.93176 1870 1870 G3
3247 1265002 1255 1265 5.95888 0.1141 317.63562 1870 1871 G3
3340 1300005 1292 1300 5.60352 0.16693 359.72007 1873 1874 G3
3346 1302003 1297 1302 3.69585 0.05262 68.39304 1874 1874 G3
3381 1312001 1304 1312 3.49559 0.1734 325.38304 1874 1875 G3
3411 1325001 1314 1325 6.22933 0.22992 915.03797 1875 1876 G3
3450 1337001 1326 1337 5.54989 0.17152 574.36344 1876 1877 G3
3487 1353004 1345 1353 4.92437 0.05127 116.05491 1878 1878 G3
3570 1385001 1377 1385 6.04323 0.14064 405.98192 1880 1881 G3
3630 1417001 1399 1417 8.5 0.1321 827.5505 1882 1884 G3
3663 1430006 1424 1430 3.81992 0.05607 83.80249 1884 1885 G3
3666 1431003 1424 1431 3.851 0.06614 126.44292 1884 1885 G3
3903 1533002 1527 1533 3.791 0.14691 323.26744 1893 1893 G3
4018 1575003 1570 1575 3.63889 0.07736 110.06442 1896 1897 G3
4046 1589001 1572 1589 5.74504 0.12666 523.5801 1896 1898 G3
4088 1603004 1594 1603 5.24059 0.09862 267.03838 1898 1899 G3
4193 1637001 1626 1637 7.58409 0.30331 1330.2666 1901 1902 G3
4297 1677001 1652 1677 6.46079 0.15095 1139.00276 1903 1905 G3
4368 1694006 1686 1694 3.97021 0.08163 222.62455 1906 1907 G3
4372 1695001 1685 1695 3.53992 0.09363 289.58794 1906 1907 G3
4454 1720003 1700 1720 6.52638 0.19014 1166.95662 1907 1909 G3
4457 1721002 1713 1721 5.46111 0.086 234.47726 1908 1909 G3
4485 1731001 1724 1731 3.14237 0.09016 177.32295 1909 1910 G3
4517 1745001 1736 1745 6.78657 0.11142 344.18187 1910 1911 G3
4565 1755004 1745 1755 4.9219 0.13758 436.00501 1911 1912 G3
4676 1779001 1773 1779 3.26122 0.08988 164.21153 1913 1914 G3
4722 1793002 1781 1793 4.81585 0.12514 493.41055 1914 1915 G3
4845 1831006 1818 1831 5.1812 0.19218 792.62514 1917 1918 G4
5023 1876003 1852 1876 11.24215 0.33266 2839.48908 1920 1922 G4
5105 1900001 1891 1900 3.58503 0.12449 334.83486 1923 1924 G4
5155 1915006 1903 1915 4.74689 0.16187 642.56015 1924 1925 G4
5217 1925001 1920 1925 4.21739 0.06365 96.66396 1925 1926 G4
5282 1941005 1930 1941 4.33274 0.07989 229.63485 1926 1927 G4
5299 1948001 1940 1948 6.44322 0.07695 190.84176 1927 1928 G4
5327 1959003 1942 1959 4.21728 0.10359 470.7213 1927 1929 G4
5433 1984001 1973 1984 3.06444 0.12638 436.40912 1930 1931 G4
5528 2007004 2001 2007 3.0049 0.06895 129.81703 1932 1933 G4
5637 2026003 2015 2026 3.57597 0.16601 574.38358 1933 1934 G4
5696 2041002 2034 2041 3.56548 0.14739 308.81952 1935 1936 G4
5731 2051002 2044 2051 3.15247 0.10379 231.62741 1936 1936 G4
5786 2066001 2057 2066 3.24493 0.16378 513.02043 1937 1938 G4
5790 2066005 2061 2066 4.31217 0.05348 75.93463 1937 1938 G4
5853 2080002 2071 2080 3.63531 0.11106 289.10326 1938 1939 G4
