date;Precipitation;Seepage;StorageChange;Snowheight
01.06.1992;2.8;0;-1.8;0
02.06.1992;0;0;-5.5;0
03.06.1992;8.3;0;5.4;0
04.06.1992;1.1;0;-4.5;0
05.06.1992;0;0;-7.2;0
06.06.1992;0;0;-2.8;0
07.06.1992;0.3;0;-3.6;0
08.06.1992;19.2;0;17;0
09.06.1992;0.4;0;-4.5;0
10.06.1992;0;0;-7.2;0
11.06.1992;1.9;0;-0.8;0
12.06.1992;0;0;-2.7;0
13.06.1992;0;0;-6.1;0
14.06.1992;0;0;-4.7;0
15.06.1992;0;0;-6;0
16.06.1992;0;0;-4.4;0
17.06.1992;0;0;-5.1;0
18.06.1992;2.4;0;-2.8;0
19.06.1992;0;0;-5.6;0
20.06.1992;0;0;-5.1;0
21.06.1992;0;0;-4.5;0
22.06.1992;0;0;-3.4;0
23.06.1992;0;0;-4.5;0
24.06.1992;0;0;-4.5;0
25.06.1992;0;0;-3.9;0
26.06.1992;0;0;-4.4;0
27.06.1992;0;0;-3.9;0
28.06.1992;0;0;-3.1;0
29.06.1992;0;0;-3.4;0
30.06.1992;0;0;-2.9;0
01.07.1992;0;0;-2.3;0
02.07.1992;0;0;-1.7;0
03.07.1992;1;0;-0.7;0
04.07.1992;8.3;0;6.3;0
05.07.1992;38.6;0;38.6;0
06.07.1992;7.5;0;5.9;0
07.07.1992;0.3;0;-1.9;0
08.07.1992;0;0;-3.1;0
09.07.1992;0;0;-2.9;0
10.07.1992;2.9;0;0.8;0
11.07.1992;2.8;0;0.3;0
12.07.1992;0;0;-1.8;0
13.07.1992;2.8;0;1.2;0
14.07.1992;3.2;0;0.7;0
15.07.1992;0;0;-2;0
16.07.1992;0;0;-1.1;0
17.07.1992;4;0;2.2;0
18.07.1992;0;0;-2.3;0
19.07.1992;0;0;-1.1;0
20.07.1992;0;0;-1.1;0
21.07.1992;36.6;0;35.5;0
22.07.1992;0.5;0;-3.1;0
23.07.1992;0;0;-4.6;0
24.07.1992;0;0;-5.2;0
25.07.1992;6.6;0;5;0
26.07.1992;0;0;-3.4;0
27.07.1992;1.6;0;-2.4;0
28.07.1992;0;0;-1.7;0
29.07.1992;0;0;-1.7;0
30.07.1992;0;0;-1.7;0
31.07.1992;3.2;0;-2.2;0
01.08.1992;0;0;-1.4;0
02.08.1992;0;0;-1;0
03.08.1992;0;0;-1;0
04.08.1992;0;0;-1.3;0
05.08.1992;0;0;-1.2;0
06.08.1992;0;0;-1.5;0
07.08.1992;0;0;-1.6;0
08.08.1992;0;0;-1.8;0
09.08.1992;0;0;-2.4;0
10.08.1992;0;0;-2.3;0
11.08.1992;0;0;-2.1;0
12.08.1992;0;0;-2.2;0
13.08.1992;3.9;0;2.4;0
14.08.1992;3.1;0;-0.2;0
15.08.1992;0.4;0;-1.9;0
16.08.1992;0;0;-2.5;0
17.08.1992;2.6;0;0.1;0
18.08.1992;1.2;0;-2.4;0
19.08.1992;1.2;0;-2.4;0
20.08.1992;3.9;0;-0.2;0
21.08.1992;0;0;-3.4;0
22.08.1992;0.7;0;-2.4;0
23.08.1992;3.4;0;0.2;0
24.08.1992;4.7;0;1.5;0
25.08.1992;0;0;-4.6;0
26.08.1992;0.8;0;-3;0
27.08.1992;0;0;-3.3;0
28.08.1992;0;0;-3.2;0
29.08.1992;1.3;0;-1.5;0
30.08.1992;1;0;-2;0
31.08.1992;24.3;0;22.7;0
01.09.1992;1.3;0;-3.2;0
02.09.1992;1.4;0;-3.2;0
03.09.1992;0.4;0;-4.6;0
04.09.1992;13.8;0;10;0
