date;year;month;day;Temp;Tmax;Tmin;T14;RH;RH14;Rad;Prec;u2;u10
01.06.1992;1992;6;1;19.7;26.7;12.8;26.1;63;38;1985;2;0;4.1
02.06.1992;1992;6;2;21.2;28.2;13.6;26.2;60;45;2451;0;0;4.9
03.06.1992;1992;6;3;20.1;26.2;15.1;25.1;74;50;1554;7.6;0;2.7
04.06.1992;1992;6;4;18.7;26.1;12.4;20.5;79;71;1740;0.6;0;3.1
05.06.1992;1992;6;5;20.8;28.8;10.9;27.5;59;34;2368;0;0;3.6
06.06.1992;1992;6;6;17.3;22.3;13;19.1;75;65;1238;0.3;0;2
07.06.1992;1992;6;7;17.4;23.9;12;22.8;71;42;2024;0;0;2.7
08.06.1992;1992;6;8;14.7;20.9;11.5;16.1;85;80;1007;17.7;0;3.1
09.06.1992;1992;6;9;17.7;24.2;13.1;21.1;75;53;1846;0;0;2
10.06.1992;1992;6;10;16.1;22.3;11;22.3;60;31;2520;0;0;3.5
11.06.1992;1992;6;11;12.3;17.2;10.3;13.8;84;77;930;1.1;0;1.6
12.06.1992;1992;6;12;13.9;17.4;9.1;16.1;87;73;935;0;0;1.9
13.06.1992;1992;6;13;17.7;23.6;11.4;23.3;71;51;2443;0;0;2.4
14.06.1992;1992;6;14;18.2;25.6;9.6;24.4;68;40;2269;0;0;1.8
15.06.1992;1992;6;15;20.9;27;14.9;26.7;64;38;2237;0;0;1.9
16.06.1992;1992;6;16;19.9;26.2;12.8;24.5;68;48;1408;0;0;2
17.06.1992;1992;6;17;18.4;24.5;12;23.5;57;37;2484;0;0;2.6
18.06.1992;1992;6;18;16.4;22.7;11.4;21.7;67;49;2354;1.8;0;3.3
19.06.1992;1992;6;19;17.9;24.5;11.3;22.3;70;45;1597;0;0;2.9
20.06.1992;1992;6;20;22;29;14.6;28.1;55;42;2615;0;0;3.9
21.06.1992;1992;6;21;20.3;27.2;14.2;26;56;37;2052;0;0;2.9
22.06.1992;1992;6;22;18.1;24.3;12.3;22.3;71;52;1566;0;0;2
23.06.1992;1992;6;23;19;26.5;9.8;26;60;39;2054;0;0;2.4
24.06.1992;1992;6;24;19.9;25.2;15;24.7;54;38;2685;0;0;3.3
25.06.1992;1992;6;25;20.2;27.1;11.8;26.7;55;35;2650;0;0;2.2
26.06.1992;1992;6;26;20.3;26.7;13.3;26;41;29;2944;0;0;3.2
27.06.1992;1992;6;27;19.5;27.9;7.5;27.1;49;31;2743;0;0;1.4
28.06.1992;1992;6;28;21;29.5;10.9;29;52;29;2821;0;0;2.1
29.06.1992;1992;6;29;22.2;29.9;11.3;29.5;48;30;2784;0;0;2.3
30.06.1992;1992;6;30;23.9;31.4;13.1;30.5;48;30;2796;0;0;2.7
01.07.1992;1992;7;1;24.4;32.7;14.7;31.7;54;35;2527;0;0;2.6
02.07.1992;1992;7;2;21.9;28.2;15.6;26.1;64;48;2179;0;0;2.7
03.07.1992;1992;7;3;20.7;26.8;15.3;25.1;71;52;1620;0.5;0;1.4
04.07.1992;1992;7;4;19.2;27.9;15.8;18.1;82;96;1232;7.7;0;2.2
05.07.1992;1992;7;5;16.1;18.5;14.1;17.1;95;96;394;35.6;0;2.7
06.07.1992;1992;7;6;14.6;17.3;13.3;16.4;90;87;520;6.7;0;3.1
07.07.1992;1992;7;7;15.3;20.4;12.4;19.9;86;60;881;0;0;2.4
08.07.1992;1992;7;8;19.1;26.6;11.4;23.8;64;38;2246;0;0;1.2
09.07.1992;1992;7;9;20.3;27.3;11.4;26.1;56;34;2555;0;0;2.1
10.07.1992;1992;7;10;20.2;28.7;11;28.1;62;33;2349;2.1;0;2.5
11.07.1992;1992;7;11;17;21;13.6;20.6;87;68;810;1.7;0;2.8
12.07.1992;1992;7;12;17.7;22.9;12.8;21;72;54;1812;0;0;3.7
13.07.1992;1992;7;13;17.8;23.9;12;22.5;65;41;2066;2;0;3.8
14.07.1992;1992;7;14;17.3;20.4;14;20.1;82;67;552;2;0;4.6
15.07.1992;1992;7;15;16.2;21.8;11.3;19.9;66;44;2047;0.2;0;3
16.07.1992;1992;7;16;17.2;24.5;9.1;22.7;64;39;2067;0;0;1.3
17.07.1992;1992;7;17;20.5;29.7;11.2;28.8;71;37;2085;3.2;0;2.3
18.07.1992;1992;7;18;20.5;24.8;14.7;24.6;63;41;2000;0;0;5.2
19.07.1992;1992;7;19;20.7;28.1;13.2;26;59;36;2169;0;0;1.8
20.07.1992;1992;7;20;25.1;33.2;16.4;32.3;58;36;2503;0;0;1.8
21.07.1992;1992;7;21;26;35.6;17.8;35;61;34;2340;34.6;0;2.8
22.07.1992;1992;7;22;19;23.8;16;21.4;82;59;1111;0.4;0;2.3
23.07.1992;1992;7;23;20.4;26.1;15.7;25.5;69;46;2030;0;0;1.7
24.07.1992;1992;7;24;21.4;27.5;14.2;26.8;60;37;2561;0;0;2.8
25.07.1992;1992;7;25;17.6;20.9;13.1;17.6;83;95;676;5.8;0;2
26.07.1992;1992;7;26;19.2;25.4;11.9;24.1;70;47;1929;0;0;1.9
27.07.1992;1992;7;27;21.2;29.7;14.1;29.3;64;34;2278;0.8;0;4.2
28.07.1992;1992;7;28;16.1;21.4;10.4;20.2;67;45;1991;0;0;4.4
29.07.1992;1992;7;29;16.8;23.5;8.3;22.8;63;39;2450;0;0;1.9
30.07.1992;1992;7;30;22.1;31.3;12.1;29.9;56;38;2382;0;0;2.7
31.07.1992;1992;7;31;21.1;27.3;15.3;26.1;74;55;1696;1.9;0;2.3
01.08.1992;1992;8;1;23;30.5;15.3;29.6;68;46;1910;0.1;0;2
02.08.1992;1992;8;2;23.5;29;18.2;28.2;64;45;2021;0;0;4
03.08.1992;1992;8;3;24.1;32;17.3;32;70;44;1782;0;0;3.1
04.08.1992;1992;8;4;20.1;24.7;12.9;24.1;62;34;2084;0;0;3.8
05.08.1992;1992;8;5;19.8;27.6;10.9;26.4;57;33;2399;0;0;1.9
06.08.1992;1992;8;6;23.4;31.5;13.8;31;53;32;2391;0;0;2.5
07.08.1992;1992;8;7;23.1;30.1;15.1;28.3;61;43;2049;0;0;2.5
08.08.1992;1992;8;8;26.8;35.9;17.2;35.1;53;34;2091;0;0;2
09.08.1992;1992;8;9;28.4;37.3;18.6;36.5;52;34;2191;0;0;2.3
10.08.1992;1992;8;10;24.3;30.9;19.1;30.9;59;39;2083;0.1;0;5.1
11.08.1992;1992;8;11;19.5;25.2;15.2;24.1;61;44;2112;0;0;4.4
12.08.1992;1992;8;12;20;25.7;14.1;23.9;60;45;1789;0;0;3.8
13.08.1992;1992;8;13;16;18.4;13.6;15.1;79;89;492;3;0;4.5
14.08.1992;1992;8;14;15.4;19.2;11.4;18.6;84;82;717;1.8;0;5.1
15.08.1992;1992;8;15;13.8;17.6;9.6;16.6;80;62;996;0;0;2.9
16.08.1992;1992;8;16;16.4;22.8;8.7;22.5;68;39;1704;0;0;1.9
17.08.1992;1992;8;17;17;20.7;12;17.7;79;94;641;1.7;0;3.3
18.08.1992;1992;8;18;17.3;22.3;10.9;21;76;53;1413;0.5;0;1.3
19.08.1992;1992;8;19;21.5;29.3;14.7;29.1;68;42;1931;0.5;0;1.6
20.08.1992;1992;8;20;22.9;30;16.6;28.2;69;48;1692;3.2;0;2
21.08.1992;1992;8;21;19.9;24.8;15.4;24.1;72;51;1461;0;0;4.2
22.08.1992;1992;8;22;19;25.3;13.1;25;66;40;1865;0.2;0;1.3
23.08.1992;1992;8;23;17.2;24;13;23.8;81;54;998;2.6;0;3.3
24.08.1992;1992;8;24;16.4;21.6;10.6;21.2;75;45;1126;3.8;0;3.7
25.08.1992;1992;8;25;21.7;28.5;15.8;28;69;40;1684;0;0;5.1
26.08.1992;1992;8;26;22.7;31.4;17.2;30.7;64;35;1504;0.3;0;3.8
27.08.1992;1992;8;27;22;27.7;17.7;26.4;65;43;1380;0;0;4.2
28.08.1992;1992;8;28;26.3;34.6;18.2;33.4;56;36;1853;0;0;4
29.08.1992;1992;8;29;22.6;32.5;16.6;31.9;67;34;1599;0.8;0;3.4
30.08.1992;1992;8;30;17.7;23.3;14.9;19;80;75;979;0.5;0;2.5
31.08.1992;1992;8;31;16.3;20.3;12.5;18;80;77;588;22.6;0;3.2
01.09.1992;1992;9;1;12.7;16.8;9.7;13.7;77;69;1097;0.9;0;6.2
02.09.1992;1992;9;2;13.1;18.3;7;17.7;70;53;1247;0.7;0;5.2
03.09.1992;1992;9;3;15.9;20.3;12.4;19.6;75;58;907;0.1;0;6.4
04.09.1992;1992;9;4;11.5;14.7;8.6;13.6;84;82;827;12.3;0;4.6
05.09.1992;1992;9;5;11.1;15.4;8.6;12.1;83;85;847;10.6;0;6.9
06.09.1992;1992;9;6;11.5;15.2;6.7;15.2;75;58;1283;0;0;5.8
07.09.1992;1992;9;7;12.6;18.6;5;17.6;75;54;1435;1.9;0;2.3
08.09.1992;1992;9;8;13.1;17.7;7.9;16.8;79;49;1127;0.4;0;2.2
09.09.1992;1992;9;9;12.4;18.6;6.4;18.2;72;49;1680;0;0;2.2
10.09.1992;1992;9;10;14.4;21.2;5.3;20.7;64;40;1745;0;0;2.9
11.09.1992;1992;9;11;17.3;25.1;10.7;24.1;71;54;1448;0.2;0;1.9
12.09.1992;1992;9;12;14.2;19.4;8.2;18.7;74;47;1147;0.1;0;2.5
13.09.1992;1992;9;13;13.4;19.1;5.8;18.8;81;59;1156;0;0;2.1
14.09.1992;1992;9;14;13.8;16.9;10.8;14;86;88;450;4.6;0;3.4
15.09.1992;1992;9;15;13.5;18.6;8.4;18.1;80;61;1076;0;0;4
16.09.1992;1992;9;16;14.7;17.8;10.9;17;75;66;814;0;0;4.7
17.09.1992;1992;9;17;11.3;17.1;5.7;16.7;75;49;1543;0;0;1.6
18.09.1992;1992;9;18;12.7;20.1;5.3;19.4;64;41;1625;0;0;3
19.09.1992;1992;9;19;13.7;20.8;7.1;20.4;65;46;1439;0;0;2.9
20.09.1992;1992;9;20;14.7;20.1;10.9;19.9;74;57;990;0;0;1.5
21.09.1992;1992;9;21;14.6;21.5;7.7;21.1;74;47;1326;0;0;1.9
22.09.1992;1992;9;22;16.8;24.3;10.8;24.2;61;40;1447;0;0;4.2
23.09.1992;1992;9;23;15.8;22.1;9.8;21.7;71;52;1049;0.9;0;2.9
24.09.1992;1992;9;24;13.1;16.4;10.1;16.2;92;73;346;4.8;0;1.1
25.09.1992;1992;9;25;13.5;18.3;9.5;18;91;75;837;0.2;0;1.3
26.09.1992;1992;9;26;14.2;21.4;9.3;20.3;88;61;1172;0;0;1.3
27.09.1992;1992;9;27;15.2;24;6.6;23.7;75;47;1349;0;0;1.2
28.09.1992;1992;9;28;15.9;23.2;8.6;23.1;67;47;1369;0;0;2.9
29.09.1992;1992;9;29;13;17.4;10.1;16.3;74;63;956;0;0;2.8
30.09.1992;1992;9;30;10.4;15.1;5;14.6;79;67;560;0;0;1.3
01.10.1992;1992;10;1;10.6;16.2;4.2;15.8;85;61;688;0;0;1.2
02.10.1992;1992;10;2;13.2;17;10.5;17;78;59;720;0;0;1.8
03.10.1992;1992;10;3;12.1;17.5;6.6;17.2;68;51;1098;0;0;4.8
04.10.1992;1992;10;4;11.6;14.9;7.7;14.9;68;51;1039;6.1;0;7.2
05.10.1992;1992;10;5;8.8;10.9;7.4;8.8;92;94;185;5;0;6
06.10.1992;1992;10;6;13;15.5;10.8;15.2;95;90;300;0.3;0;3.2
07.10.1992;1992;10;7;11;12.5;9.9;11.1;97;96;105;0.9;0;2.7
08.10.1992;1992;10;8;10.1;13.1;6.2;12.8;82;62;673;0;0;2.5
09.10.1992;1992;10;9;9.5;11.5;7.4;11.3;81;69;360;0.2;0;3.9
10.10.1992;1992;10;10;6.7;12.6;0.7;11.5;83;56;1013;0;0;1.4
11.10.1992;1992;10;11;5.7;11;-1;11;89;61;732;0.7;0;2.2
12.10.1992;1992;10;12;4.8;9.2;-1.6;9.2;68;34;1186;0;0;2.2
13.10.1992;1992;10;13;2.5;8.6;-3.8;8.4;73;44;1155;0;0;1.8
14.10.1992;1992;10;14;5.6;11.7;-1.6;11.4;62;41;957;0;3;3.5
15.10.1992;1992;10;15;7;8.8;4.7;6.3;70;84;237;0.7;4.3;5.5
16.10.1992;1992;10;16;5.3;8.3;2.4;6.3;68;0;581;0;3.6;4.7
17.10.1992;1992;10;17;2.5;7.1;-1.6;6.3;80;0;508;0;1.8;2.3
18.10.1992;1992;10;18;2.6;8.8;-2.4;6.3;79;0;948;0;2.6;3.6
19.10.1992;1992;10;19;6.5;13;-0.2;6.3;65;0;958;0;3;3.9
20.10.1992;1992;10;20;6.3;12.5;1.3;6.3;70;0;882;0;2;2.7
21.10.1992;1992;10;21;5.6;11.1;0.8;5.3;82;86;407;0;2.6;3.5
22.10.1992;1992;10;22;5.4;9.3;1.7;4.4;80;93;563;9.6;4;5.3
23.10.1992;1992;10;23;5.9;9;3.1;8.3;84;70;438;4.1;3;3.9
