,T,Tmin,Tmax,Prec,Rad,Rs,RH,u2,u2mx,vap,aP,EToPM,EToHG,EToSJ,EToPM2,EToPT
2016-01-01,5.5,1.3,7.7,0.0,324.0,3.24,91.5,3.8,9.7,8.3,1020.75,0.6594769004281904,0.3637368298562578,0.0,-0.02753394124778541,-0.42682851713645487
2016-01-02,2.8,-2.1,4.8,0.5,147.0,1.47,87.71,8.0,19.0,6.6,1012.75,0.6088300024158488,0.33654581210469386,0.0,0.7334803315019747,0.10912101100844203
2016-01-03,-3.0,-3.5,-2.1,3.5,50.0,0.5,90.0,8.9,17.2,4.4,1003.55,0.34614590882384577,0.10983563513431108,0.0,0.7191019192609753,0.3116664748525195
2016-01-04,-4.9,-5.6,-3.4,1.3,158.0,1.58,86.71,7.4,16.0,3.7,991.26,0.415825358601776,0.12109655230931714,0.0,0.5574615406719643,0.0663265074297601
2016-01-05,-4.7,-5.5,-3.5,2.7,52.0,0.52,88.29,7.7,18.2,3.8,994.19,0.3448563169424081,0.11837828059541393,0.0,0.6792472482954071,0.28888230544280563
2016-01-06,-3.9,-4.7,-3.4,0.2,62.0,0.62,78.63,6.6,14.9,3.6,1000.27,0.6077564864687269,0.10229689797263163,0.0,0.9695959825769513,0.2847599388941803
2016-01-07,-3.0,-4.4,3.6,5.0,98.0,0.98,87.5,7.3,14.6,4.3,992.62,0.414177601204488,0.27308722049752304,0.0,0.8007056091407154,0.21835414391290786
2016-01-08,4.3,2.6,5.6,0.3,190.0,1.9000000000000001,85.67,8.6,21.3,7.1,993.63,0.8422589726743588,0.2525152577206,0.0,0.9501424059566548,0.0436083357856253
2016-01-09,2.8,1.1,5.4,1.0,260.0,2.6,88.58,5.1,10.3,6.6,996.75,0.6501233900278646,0.28509549087222974,0.0,0.3889013657982736,-0.12084133364999758
2016-01-10,5.1,3.2,7.1,0.1,235.0,2.35,85.13,6.1,14.6,7.5,987.7,0.8555768951764812,0.30550446120718633,0.0,0.726708242977279,-0.049870514130464956
2016-01-11,3.7,2.4,4.8,1.6,165.0,1.6500000000000001,92.25,4.2,9.5,7.3,985.12,0.4510152316946631,0.22785252231840974,0.0,0.3905869726239306,0.1416796798265269
2016-01-12,4.7,3.9,5.4,1.9,221.0,2.21,91.58,4.9,10.6,7.8,987.44,0.5588639866267409,0.190980629480994,0.0,0.3739766461320975,0.022028362747387224
